Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Mateo Tomašević,M,SBD,Raw,28,24-34,24-39,Open,92.7,93,185,197.5,-205,,197.5,120,127.5,130,,130,220,232.5,240,,240,567.5,10,361.64,357.05,341.77,74.36,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Matija Diminić,M,B,Raw,29,24-34,24-39,Open,104.7,105,,,,,,155,162.5,-167.5,,162.5,,,,,,162.5,3,98.12,97.20,92.82,72.86,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Michel Marinović,M,SBD,Raw,,,,Open,90.9,93,197.5,205,210,,210,130,135,137.5,,137.5,225,240,252.5,,252.5,600,7,386.04,381.12,365.11,79.38,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Leon Rozman,M,SBD,Raw,29,24-34,24-39,Open,73.7,74,160,170,177.5,,177.5,117.5,125,-132.5,,125,185,200,-210,,200,502.5,5,364.60,362.50,350.53,73.93,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Petar Rajković,M,SBD,Raw,,,,Open,126.4,120+,245,-255,255,,255,155,165,-170,,165,255,-265,270,,270,690,3,389.70,392.32,375.33,78.44,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Rino Čala,M,SBD,Raw,27,24-34,24-39,Open,99.2,105,200,212.5,225,,225,150,-160,-160,,150,210,225,232.5,,232.5,607.5,10,375.24,370.92,354.32,77.04,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ivan Lokas,M,SBD,Raw,25,24-34,24-39,Open,98.6,105,230,247.5,260,,260,150,157.5,165,,165,250,275,-285,,275,700,5,433.53,428.46,409.34,89.03,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Katarina Temešberger,F,SBD,Raw,28,24-34,24-39,Open,72.6,76,120,125,130,,130,75,80,82.5,,82.5,130,140,-145,,140,352.5,4,349.36,342.17,301.33,71.08,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Fran Žužić,M,SBD,Raw,,24-34,,Open,84.8,93,195,202.5,207.5,,207.5,120,127.5,132.5,,132.5,-220,225,240,,240,580,9,386.92,382.35,367.43,79.42,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Mario Paradžik,M,SBD,Raw,24.5,24-34,24-39,Open,73.8,74,202.5,210,215,,215,115,120,125,,125,245,-257.5,257.5,,257.5,597.5,2,433.14,430.62,416.37,87.84,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
